Number,Pace,Distance,Duration,Run Type,Notes
37,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
38,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
39,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
40,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
41,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
42,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
43,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
44,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
45,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
46,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
47,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
48,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
49,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
50,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
51,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
52,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
53,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
54,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
55,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
56,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
57,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
58,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
59,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
60,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
61,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
62,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
63,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
64,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
65,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
66,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
67,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
68,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
69,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
70,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
71,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
72,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
73,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
74,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
75,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
76,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
77,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
78,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
79,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
80,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
81,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
82,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
83,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
84,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
85,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
86,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
87,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
88,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
89,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
90,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
91,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
92,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
93,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
94,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
95,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
96,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
97,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
98,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
99,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
100,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
101,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
102,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
103,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
104,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
105,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
106,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
107,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
108,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
109,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
110,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
111,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
112,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
113,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
114,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
115,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
116,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
117,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
118,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
119,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
120,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
121,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
122,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
123,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
124,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
125,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
126,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
127,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
128,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
129,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
130,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
131,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
132,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
133,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
134,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
135,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
136,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
137,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
138,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
139,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
140,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
141,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
142,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
143,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
144,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
145,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
146,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
147,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
148,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
149,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
150,6:15,6.0,37:30,Long,"Long run with a pace of 6:15 min/mi, covered a distance of 6.0 mi, and completed in 37 minutes and 30 seconds. Explored a new scenic route."
151,7:55,3.1,24:35,Race,"Race day! Completed a 5k event with a pace of 7:55 min/mi, covered a distance of 3.1 mi, and finished in 24 minutes and 35 seconds. Set a new personal record!"
152,7:35,3.5,26:35,Steady,"Steady run with a pace of 7:35 min/mi, covered a distance of 3.5 mi, and completed in 26 minutes and 35 seconds. Enjoyed the evening run."
153,6:25,5.0,32:05,Regular,"Routine run with a pace of 6:25 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 5 seconds. Explored a new running route."
154,8:00,2.0,16:00,Recovery,"Easy recovery jog with a pace of 8:00 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes. Legs felt much better after the run."
155,6:50,4.0,27:20,Tempo,"Tempo run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Maintained a strong and steady pace."
156,7:25,3.1,22:58,Regular,"Routine run with a pace of 7:25 min/mi, covered a distance of 3.1 mi, and completed in 22 minutes and 58 seconds. Enjoyed the cool weather."
157,8:05,2.5,20:12,Recovery,"Easy recovery jog with a pace of 8:05 min/mi, covered a distance of 2.5 mi, and completed in 20 minutes and 12 seconds. Relaxed and cleared my mind."
158,6:00,6.2,37:12,Race,"Race day! Completed a 10k event with a pace of 6:00 min/mi, covered a distance of 6.2 mi, and finished in 37 minutes and 12 seconds. Set a new personal record!"
159,7:45,3.5,27:07,Steady,"Steady run with a pace of 7:45 min/mi, covered a distance of 3.5 mi, and completed in 27 minutes and 7 seconds. Enjoyed the beautiful sunset."
160,6:35,5.0,32:55,Regular,"Routine run with a pace of 6:35 min/mi, covered a distance of 5.0 mi, and completed in 32 minutes and 55 seconds. Explored a new trail in the woods."
161,8:15,2.0,16:30,Recovery,"Easy jog to recover and rejuvenate with a pace of 8:15 min/mi, covered a distance of 2.0 mi, and completed in 16 minutes and 30 seconds. Legs felt refreshed."
162,6:50,4.0,27:20,Progressive,"Progressive run with a pace of 6:50 min/mi, covered a distance of 4.0 mi, and completed in 27 minutes and 20 seconds. Pushed the pace on the final mile."
163,7:05,4.0,28:20,Hills,"Hill repeats workout with a pace of 7:05 min/mi, covered a distance of 4.0 mi, and completed in 28 minutes and 20 seconds. Focused on maintaining good form uphill."
164,8:35,2.5,21:25,Regular,"Routine run with a pace of 8:35 min/mi, covered a distance of 2.5 mi, and completed in 21 minutes and 25 seconds. Enjoyed the cool breeze."
